Abbrev	Full text	Occurences
OVCARES	Ovarian Cancer Only	5
DS-LMC-IRB	Disease-Specific (Lipid Metabolism Control, IRB)	1
EA-IRB	Exchange Area use by Finnish Familial Dyslipedemia study investigators only	1
DS-MDD-NPU-GSO	Disease-Specific (Major Depressive Disorder, NPU, GSO)	1
EA-IRB	Exchange Area (IRB)	9
DS-UEC-COL	Disease-Specific (Uterine Endometrial Carcinosarcoma, COL)	1
HMB-IRB-PUB-NPU-GSO	Health/Medical/Biomedical (IRB, PUB, NPU, GSO)	2
HMB-IRB-PUB	Health/Medical/Biomedical (IRB, PUB)	9
DS-OBDR-MDS	Disease-Specific (Orofacial birth defects and related phenotypes, MDS)	2
DS-OBD-MDS	Disease-Specific (Orofacial birth defects, MDS)	1
DS-OC-PUB-MDS	Disease-Specific (Oral Clefts, PUB, MDS)	2
DS-LDS-MDS	Disease-Specific (Lung disease or smoking, MDS)	5
EA-IRB	Exchange Area	1
DS-LC-PUB-NPU	Disease-Specific (Lung Cancer, PUB, NPU)	1
DS-SZRD-GSO-RD	Disease-Specific (Schizophrenia and related disorders, GSO, RD)	1
DS-SAR-IRB	Disease-Specific (Sarcoidosis, IRB)	1
DS-ADX-IRB	Disease-Specific (Addictive Disorders, IRB)	3
DS-CA-PUB-NPU-RD	Disease-Specific (Cancer, PUB, NPU, RD)	1
DS-DHD-IRB-PUB-MDS-RD	Disease-Specific (Diabetes and Heart Disease, IRB, PUB, MDS, RD)	1
EA-IRB-PUB-MDS-RD	Exchange Area (IRB, PUB, MDS, RD)	1
DS-ASTHMA-IRB-PUB-NPU-MDS-GSO-RD	Disease-Specific (Asthma, IRB, PUB, NPU, MDS, GSO, RD)	1
EA-IRB-NPU-MDS	Exchange Area (IRB, NPU, MDS)	2
DS-PC-IRB-NPU-MDS	Disease-Specific (Prostate Cancer, IRB, NPU, MDS)	2
DS-DRC-IRB-NPU	Disease-Specific (Diabetes and Related Complications, IRB, NPU)	1
DS-ASTHMA-IRB-PUB-MDS-RD	Disease-Specific (Asthma, IRB, PUB, MDS, RD)	1
DS-ATHSCL-IRB-MDS	Disease-Specific (Atherosclerosis, IRB, MDS)	1
DS-LYM	Disease-Specific (Lymphoma)	1
DS-NNMC	Disease-Specific (neurologic and neuromuscular conditions)	1
DS-FDY-COL	Disease-Specific (Familial Dysautonomia, COL)	1
DS-TSC-IRB-NPU-MDS-GSO	Disease-Specific (Tuberous Sclerosis Complex, IRB, NPU, MDS, GSO)	1
DS-ASC-RF-NPU	Disease-Specific (Arteriosclerosis and its Risk Factors, NPU)	3
DS-EMD	Disease-Specific (Eye Movement Disorders)	1
DS-ELMD	Disease-Specific (Eye and Lid Movement Disorders)	1
DS-CCDD-RD	Disease-Specific (Congenital Cranial Dysinnervation Disorders, RD)	1
DS-CS-MDS-RD	Disease-Specific (COPD and Smoking, MDS, RD)	3
DS-HIV-IRB	Disease-Specific (Human Immunodeficiency Virus, IRB)	3
DS-BPD-GSO	Disease-Specific (Bipolar Disorder, GSO)	1
DS-BPD-GSO-RD	Disease-Specific (Bipolar Disorder, GSO, RD)	1
DS-SZRD-GSO	Disease-Specific (Schizophrenia and related disorders, GSO)	1
DS-ADHD-GSO	Disease-Specific (Attention deficit hyperactive disorder, GSO)	1
DS-ADHD-RD	Disease-Specific (Attention deficit hyperactive disorder, RD)	1
DS-ALC-GSO-RD	Disease-Specific (Alcoholism, GSO, RD)	1
DS-M-PUB-NPU	Disease-Specific (Melanoma, PUB, NPU)	1
DS-CARD-MDS-GSO	Disease-Specific (Cardiology, MDS, GSO)	2
DS-BRCA-NPU-MDS	Disease-Specific (Breast Cancer, NPU, MDS)	1
DS-BCEMOPCA-NPU-MDS	Disease-Specific (Breast, Colorectal, Endometrial, Melanoma, Ovarian, and/or Prostate Cancer, NPU, MDS)	5
DS-BRCA-PUB	Disease-Specific (Breast Cancer, PUB)	1
DS-CA-NPU-GSO	Disease-Specific (Cancer, NPU, GSO)	6
DS-BROC	Disease-Specific (Breast and Ovarian cancer)	3
DS-SLCD	Disease-Specific (Sleep and Circadian Disorders)	1
DS-RCC-MDS	Disease-Specific (Kidney Cancer, MDS)	1
DS-KRD-RD	Disease-Specific (Kidney and Related Disorders, RD)	1
DS-NIC-EMP-LENF	Disease-Specific (No Insurance companies, employers, or the police until required by court order or by law)	1
DS-BFD-MDS	Disease-Specific (Bone Failure Disorders, MDS)	1
DS-NEUROLOGY-MDS	Disease-Specific (Neurology, MDS)	2
DS-CALD-PUB-NPU	Disease-Specific (Cancer or Lung Diseases, PUB, NPU)	1
DS-CA-PUB-NPU	Disease-Specific (Cancer, PUB, NPU)	1
LCEDOE	Lung Cancer, Environmental, Diet, Occupational Exposures	1
LDS	Lung Disease and Smoking	1
DS-CA-COL-NPU-MDS	Disease-Specific (Cancer, COL, NPU, MDS)	1
HMB-MDS-GSO	Health/Medical/Biomedical (MDS, GSO)	3
EPIMEDCA	Epidemiological and Medical Research on Cancer, Methods	2
CHRONIC	Chronic Diseases (including Cancer), Methods	2
DS-LD-RD	Disease-Specific (Lung Disease, RD)	1
DS-CRYPT-IRB-PUB-NPU-GSO	Disease-Specific (Cryptorchidism, IRB, PUB, NPU, GSO)	1
DS-PF-RD	Disease-Specific (Platelet Function, RD)	1
DS-CHR-MDS	Disease-Specific (Chordoma, MDS)	1
DS-BL-PUB-NPU	Disease-Specific (Burkitt Lymphoma, PUB, NPU)	1
CADM	Research relating to adults diseases and methods	2
GRU-COL-NPU	General Research Use (COL, NPU)	4
DS-CVD-IRB-RD	Disease-Specific (Cardiovascular Disease, IRB, RD)	1
DS-PSO-PSA-PUB	Disease-Specific (Psoriasis and Psoriatic Arthritis, PUB)	1
DS-TGCT-COL-MDS	Disease-Specific (Testicular Cancer, COL, MDS)	1
DS-PSO-PUB	Disease-Specific (Psoriasis, PUB)	1
DS-CC-PUB-NPU	Disease-Specific (Colorectal Cancer, PUB, NPU)	1
DS-GL-PUB	Disease-Specific (Glioma, PUB)	1
DS-GL	Disease-Specific (Glioma)	1
DS-BT	Disease-Specific (Brain Tumors)	2
DS-GLRC	Disease-Specific (Glioma and Related Conditions)	1
GRU-IRB-PUB-COL	General Research Use (IRB, PUB, COL)	5
DS-BROC-MDS-GSO	Disease-Specific (Breast and Ovarian cancer, MDS, GSO)	1
DS-BROC-NPU	Disease-Specific (Breast and Ovarian cancer, NPU)	1
DS-CA-MDS-GSO	Disease-Specific (Cancer, MDS, GSO)	2
DS-PCD	Disease-Specific (plasma cell dyscrasias)	1
DS-CMP-NPU-MDS	Disease-Specific (Cardiomyopathy, NPU, MDS)	1
DS-CMP-MD-NPU-MDS	Disease-Specific (Cardiomyopathy and Mitochondrial Disease, NPU, MDS)	1
HMB-IRB-PUB-COL-MDS-GSO	Health/Medical/Biomedical (IRB, PUB, COL, MDS, GSO)	1
DS-MP-IRB-NPU-GSO	Disease-Specific (Myopathy, IRB, NPU, GSO)	1
EA-NPU	Exchange Area (NPU)	4
DS-MALARIA-IRB	Disease-Specific (Malaria, IRB)	1
DS-TGCT-PUB-MDS	Disease-Specific (Testicular Cancer, PUB, MDS)	1
DS-TGCT-MDS	Disease-Specific (Testicular Cancer, MDS)	1
DS-HN-IRB-GSO	Disease-Specific (Hereditary Neuropathies, IRB, GSO)	1
DS-BPD-IRB-NPU	Disease-Specific (Bipolar Disorder, IRB, NPU)	1
GRU-IRB-PUB-COL-NPU	General Research Use (IRB, PUB, COL, NPU)	11
DS-LC-PUB-MDS	Disease-Specific (Lung Cancer, PUB, MDS)	1
EA-NPU-MDS	Exchange Area (NPU, MDS)	4
DS-FL-PUB-NPU	Disease-Specific (Follicular Lymphoma, PUB, NPU)	1
DS-TSRD	Disease-Specific (Tourette Syndrome and Related Disorders)	1
DS-TSRD-NPU	Disease-Specific (Tourette Syndrome and Related Disorders, NPU)	1
DS-SCCD	Disease-Specific (Strabismus, Congenital Cranial Dysinnervation Disorders, and related anomalies)	1
DS-MOEBIUS-RD	Disease-Specific (Moebius Syndrome, RD)	1
DS-CVD-IRB-COL-NPU-RD	Disease-Specific (Cardiovascular Disease, IRB, COL, NPU, RD)	1
EA-IRB-COL-NPU-RD	Exchange Area (IRB, COL, NPU, RD)	1
PC-RITPC	Prostate Cancer or Radiation-induced Toxicity in Prostate Cancer Patients	1
DS-PCP	Disease-Specific (Prostate Cancer Predisposition)	1
DS-CA-NPU	Disease-Specific (Cancer, NPU)	3
MHNSI-MDS	Men's Health and Nutrition in Serious Illnesses (MDS)	2
DS-PC-MDS-GSO	Disease-Specific (Prostate Cancer, MDS, GSO)	1
DS-CHDSAD-MDS	Disease-Specific (Cancer, Heart Disease, Stroke, Alzheimer Disease, and Diabetes, MDS)	2
PC-MDS-NOCTRL	Prostate Cancer, Methods, Non-control	1
DS-CMED-IRB-NPU-MDS-GSO	Disease-Specific (Cardiovascular, Metabolic, and Endocrine Diseases, IRB, NPU, MDS, GSO)	2
DS-LYN-PUB-NPU	Disease-Specific (Lynch Syndrome, PUB, NPU)	1
DS-AML-IRB-NPU-MDS	Disease-Specific (Acute Myelogenous Leukemia, IRB, NPU, MDS)	1
DS-UF-PUB-COL	Disease-Specific (Uterine Fibroids, PUB, COL)	1
DS-MUS-SKEL-IRB	Disease-Specific (Musculoskeletal Diseases, IRB)	1
DS-CDKD-IRB	Disease-Specific (Cardiovascular Disease, Diabetes and Kidney Disease, IRB)	1
HMB-IRB-COL-NPU	Health/Medical/Biomedical (IRB, COL, NPU)	1
DS-DHD-IRB-COL-NPU	Disease-Specific (Diabetes and Heart Disease, IRB, COL, NPU)	1
EA-IRB-COL-NPU	Exchange Area (IRB, COL, NPU)	2
DS-MHOCD-MDS-RD	Disease-Specific (Mental Health - Disorders Related to OCD Only, MDS, RD)	1
DS-ADHD-RC-MDS-RD	Disease-Specific (ADHD and Related Conditions, MDS, RD)	1
DS-ADHD-MDS	Disease-Specific (Attention deficit hyperactive disorder, MDS)	1
DS-SZRD-MDS-RD	Disease-Specific (Schizophrenia and related disorders, MDS, RD)	1
DS-NDR-MDS	Disease-Specific (Neurological Disorders Research, MDS)	2
DS-MHDR-MDS	Disease-Specific (Mental Health Disorders Research, MDS)	1
DS-BPD-NPU-MDS	Disease-Specific (Bipolar Disorder, NPU, MDS)	1
MH-AO	Mental Heath and Cognition in Adults over 18 years of age	1
DS-OCD-OPC-NPU-MDS	Disease-Specific (Obsessive Compulsive Disorder and other psychiatric conditions, NPU, MDS)	1
DS-SZRD-NPU	Disease-Specific (Schizophrenia and related disorders, NPU)	1
DS-MHDR-NPU	Disease-Specific (Mental Health Disorders Research, NPU)	1
HMB-COL-GSO	Health/Medical/Biomedical (COL, GSO)	2
DS-BOCA	Disease-Specific (Bowel Cancer)	1
DS-CEC-IRB	Disease-Specific (Colorectal and Endometrial Cancer, IRB)	1
RCV-CRC-MDS	Rare and common variants associated with colorectal cancer risk, and methods	1
HMB-PUB-NPU-GSO	Health/Medical/Biomedical (PUB, NPU, GSO)	1
DS-OBDR-RD	Disease-Specific (Orofacial birth defects and related phenotypes, RD)	3
DS-TS-IRB-PUB-GSO-RD	Disease-Specific (Tourette Syndrome, IRB, PUB, GSO, RD)	1
DS-NDC-MDS	Disease-Specific (Neurological Disorders and Cancer, MDS)	1
DS-BRCATOX-COL-MDS-GSO	Disease-Specific (Breast Cancer Treatment Toxicities, COL, MDS, GSO)	1
DS-PFD-RD	Disease-Specific (Pelvic Floor Disorders, RD)	1
DS-GNB-IRB	Disease-Specific (Gram negative bacteremia, IRB)	2
DS-AAI-PUB	Disease-Specific (Asthma, Allergy and Inflammation, PUB)	3
DS-E-C	Disease-Specific (Esophageal Cancer)	1
DS-ET-COL-GSO	Disease-Specific (Essential Tremor, COL, GSO)	1
DS-ADMH-IRB	Disease-Specific (Addiction and Mental Health, IRB)	1
DS-BT-PUB-NPU-MDS	Disease-Specific (Brain Tumors, PUB, NPU, MDS)	1
DS-CA-IRB-NPU	Disease-Specific (Cancer, IRB, NPU)	2
DS-SCD-RD	Disease-Specific (Sickle Cell Disease, RD)	1
DS-SCD	Disease-Specific (Sickle Cell Disease)	2
HMB-COL	Health/Medical/Biomedical (COL)	6
EA-COL	Exchange Area (COL)	1
EA-IRB-PUB-COL-NPU-MDS	Exchange Area (IRB, PUB, COL, NPU, MDS)	2
EA-MDS-RD	Exchange Area (MDS, RD)	1
DS-TENT-IRB-PUB-NPU-MDS-GSO-RD	Disease-Specific (Tropical Enteropathy, IRB, PUB, NPU, MDS, GSO, RD)	5
CG1	Consent Group 1	1
CG2	Consent Group 2	1
DS-PAP-NPU	Disease-Specific (Paclitaxel-associated pain, NPU)	1
DS-BRD-MDS	Disease-Specific (Breast Diseases, MDS)	2
DS-COBC-NPU-MDS	Disease-Specific (Colorectal, ovarian, and/or breast cancer, NPU, MDS)	1
DS-NEURO-PUB-GSO	Disease-Specific (Neurological Diseases, PUB, GSO)	1
DS-MULTIPLE_DISEASES-IRB-COL-NPU-RD	Disease-Specific (Cardiovascular, metabolic disease and associated risk factors, IRB, COL, NPU, RD)	1
DS-NDR-COL	Disease-Specific (Neurological Disorders Research, COL)	1
DS-EPSBAID-MDS-RD	Disease-Specific (Epilepsy, Structural Brain Abnormalities, Intellectual Disability, MDS, RD)	1
DS-EPSBA-MDS-RD	Disease-Specific (Epilepsy, Structural Brain Abnormalities, MDS, RD)	1
DS-EPSBACID-MDS-RD	Disease-Specific (Epilepsy, Structural Brain Abnormalities, Convulsions, Intellectual Disability, MDS, RD)	1
DS-EPCOM-MDS-RD	Disease-Specific (Epilepsy and Epilepsy Comorbidities, MDS, RD)	1
DS-EPSBACID-NPU-MDS-RD	Disease-Specific (Epilepsy, Structural Brain Abnormalities, Convulsions, Intellectual Disability, NPU, MDS, RD)	1
DS-EPASM-MDS	Disease-Specific (Epilepsy, Antiseizure Medicines, MDS)	1
DS-EPASM-MDS-RD	Disease-Specific (Epilepsy, Antiseizure Medicines, MDS, RD)	1
DS-EP-NPU	Disease-Specific (Epilepsy, NPU)	1
DS-EP-MDS	Disease-Specific (Epilepsy, MDS)	1
DS-SEIZD	Disease-Specific (Seizure Disorders)	1
DS-CARNEU-MDS	Disease-Specific (Cardiology, Neurology, MDS)	1
DS-EPI-ADULT-NPU-MDS	Disease-Specific (Epilepsy - Adults, NPU, MDS)	1
DS-EAED-MDS	Disease-Specific (Epilepsy and Anti-epileptic Drugs, MDS)	1
DS-EARET-MDS	Disease-Specific (Epilepsy causes and Responses to Antiepileptic Tx, MDS)	1
DS-NPD-IRB-NPU	Disease-Specific (Neuropsychiatric Disorders, IRB, NPU)	1
DS-NEUROLOGY-ADULTS-NPU	Disease-Specific (Neurology - Adults, NPU)	1
DS-EPI-MULTI-MDS	Disease-Specific (Epilepsy Multiple Disorders, MDS)	1
DS-NSD-NPU-MDS	Disease-Specific (Nervous System Diseases, NPU, MDS)	1
DS-NSD-ADULTS-NPU-MDS	Disease-Specific (Nervous System Diseases-Adults, NPU, MDS)	1
DS-NEURO-EP-MDS	Disease-Specific (Neurology, Epilepsy, MDS)	1
DS-MBND-NPU-MDS	Disease-Specific (Mental, Behavioral & Neurodevelopmental Disorders, NPU, MDS)	1
DS-EAED-IRB-NPU-MDS	Disease-Specific (Epilepsy and Anti-epileptic Drugs, IRB, NPU, MDS)	1
HMB-IRB-MDS-GSO	Health/Medical/Biomedical (IRB, MDS, GSO)	2
NTUH-HMB-IRB-PUB-COL-NPU-MDS-GSO	NTUH Taiwan Health/Medical/Biomedical (IRB, PUB, COL, NPU, MDS, GSO)	1
TURKEY-HMB-IRB-PUB-COL-NPU-MDS-GSO	Turkey Health/Medical/Biomedical (IRB, PUB, COL, NPU, MDS, GSO)	1
DS-BT-CA-MDS	Disease-Specific (Brain tumors and all cancer, MDS)	1
GRU-IRB-GSO	General Research Use (IRB, GSO)	1
DS-HF-IRB	Disease-Specific (Heart Failure, IRB)	1
DS-ENDO-IRB-NPU-MDS	Disease-Specific (Endocrine Diseases, IRB, NPU, MDS)	1
DS-ET-PUB-NPU	Disease-Specific (Essential Tremor, PUB, NPU)	1
DS-CSM	Disease-Specific (Craniosynostosis, metopic)	1
DS-LEU	Disease-Specific (Leukemia)	4
HMB-IRB-PUB-COL-NPU-MDS-GSO	Health/Medical/Biomedical (IRB, PUB, COL, NPU, MDS, GSO)	1
DS-SCD-IRB-PUB-COL-NPU-MDS-RD	Disease-Specific (Sickle Cell Disease, IRB, PUB, COL, NPU, MDS, RD)	2
EA-IRB-PUB-COL-NPU-MDS-RD	Exchange Area (IRB, PUB, COL, NPU, MDS, RD)	1
EA-PUB	Exchange Area (PUB)	1
DS-ED-NPU-GSO	Disease-Specific (Eye Disease, NPU, GSO)	1
DS-PREG-COM-IRB-PUB-MDS	Disease-Specific (Pregnancy Complications, IRB, PUB, MDS)	1
DS-PC-NPU-MDS	Disease-Specific (Prostate Cancer, NPU, MDS)	1
HMB-IRB-PUB-COL	Health/Medical/Biomedical (IRB, PUB, COL)	2
DS-TS-X-IRB-NPU-MDS	Disease-Specific (Turner Syndrome, IRB, NPU, MDS)	1
DS-DRC-IRB-MDS	Disease-Specific (Diabetes and Related Complications, IRB, MDS)	1
DS-BRCA-IRB-PUB-NPU-MDS	Disease-Specific (Breast Cancer, IRB, PUB, NPU, MDS)	1
DS-T2D_GDM-IRB-COL	Disease-Specific (Type 2 Diabetes or Gestational Diabetes Mellitus, IRB, COL)	1
HMB-IRB-PUB-MDS	Health/Medical/Biomedical (IRB, PUB, MDS)	2
HMB-IRB-PUB-COL-NPU-MDS	Health/Medical/Biomedical (IRB, PUB, COL, NPU, MDS)	1
DS-MULTIPLE_DISEASES-MDS	Disease-Specific (Cardiovascular, metabolic disease and associated risk factors, MDS)	2
EA-MDS	Exchange Area (MDS)	4
DS-HIV-PUB-NPU	Disease-Specific (Human Immunodeficiency Virus, PUB, NPU)	1
DS-BONE	Disease-Specific (Bone Cancers)	1
DS-ES	Disease-Specific (Ewing's Sarcoma)	1
DS-M-NPU	Disease-Specific (Melanoma, NPU)	3
DS-CATHLU-MDS	Disease-Specific (Cancer -Thoracic and Lung, MDS)	1
DS-BLADDERCA-MDS	Disease-Specific (Bladder Cancer, MDS)	1
DS-HM-GSO	Disease-Specific (Hematological Malignancies, GSO)	1
DS-MDS	Disease-Specific (Cancer, MDS)	2
DS-HNSC-PUB-NPU	Disease-Specific (Head and neck squamous cell carcinoma, PUB, NPU)	1
HMB-PUB-GSO	Health/Medical/Biomedical (PUB, GSO)	2
HMB-IRB-PUB-COL-NPU	Health/Medical/Biomedical (IRB, PUB, COL, NPU)	2
DS-DOH-MDS	Disease-Specific (Dental and Oral Health, MDS)	1
DS-DOHC-MDS	Disease-Specific (Dental and Oral Health, Cardiac Health, MDS)	1
DS-CA-COL	Disease-Specific (Cancer, COL)	2
HMB-IRB-COL	Health/Medical/Biomedical (IRB, COL)	11
EA-IRB-PUB	Exchange Area (IRB, PUB)	2
DS-ASTHMA-IRB-COL	Disease-Specific (Asthma, IRB, COL)	6
DS-LD-IRB-NPU	Disease-Specific (Lung Disease, IRB, NPU)	1
DS-ILD-IRB-NPU	Disease-Specific (Interstitial Lung Disease, IRB, NPU)	1
DS-PFIB-IRB-NPU	Disease-Specific (Pulmonary Fibrosis, IRB, NPU)	1
DS-PUL-ILD-IRB-NPU	Disease-Specific (Pulmonary, Interstitial Lung Disease, IRB, NPU)	1
DS-SCD-IRB-PUB-COL-MDS-RD	Disease-Specific (Sickle Cell Disease, IRB, PUB, COL, MDS, RD)	1
EA-IRB-PUB-COL-MDS-RD	Exchange Area (IRB, PUB, COL, MDS, RD)	1
DS-SLE-IRB-PUB-NPU-MDS	Disease-Specific (Systemic lupus erythematosus, IRB, PUB, NPU, MDS)	1
DS-SLE-PUB	Disease-Specific (Systemic lupus erythematosus, PUB)	1
DS-SLE-GSO	Disease-Specific (Systemic lupus erythematosus, GSO)	1
DS-BLADDERCA-PUB-MDS	Disease-Specific (Bladder Cancer, PUB, MDS)	2
GRU-IRB-PUB-NPU	General Research Use (IRB, PUB, NPU)	9
DS-HED-NPU-GSO	Disease-Specific (Hereditary Eye Diseases, NPU, GSO)	1
EA-GSO	Exchange Area (GSO)	2
DS-IBD-IRB-MDS-RD	Disease-Specific (Inflammatory Bowel Disease, IRB, MDS, RD)	1
DS-MM-MDS	Disease-Specific (Multiple Myeloma, MDS)	1
DS-CA-IRB-GSO	Disease-Specific (Cancer, IRB, GSO)	1
DS-GID	Disease-Specific (Gastrointestinal Diseases)	1
DS-BT-IRB	Disease-Specific (Brain Tumors, IRB)	1
DS-SUD-IRB-NPU-MDS-GSO	Disease-Specific (Substance Use Disorders, IRB, NPU, MDS, GSO)	1
DS-ADX-IRB-GSO-RD	Disease-Specific (Addictive Disorders, IRB, GSO, RD)	1
DS-BDIS-IRB-PUB	Disease-Specific (Brain Disorders, IRB, PUB)	1
DS-BE	Disease-Specific (Barrett's Esophagus)	1
DS-HMP	Disease-Specific (Human Microbiome Research)	1
DS-SZBPREL-IRB-RD	Disease-Specific (Schizophrenia, Bipolar Disorder, and genetically related illnesses, IRB, RD)	1
DS-ASTHMA-GSO	Disease-Specific (Asthma, GSO)	1
DS-NDR-IRB-NPU	Disease-Specific (Neurological Disorders Research, IRB, NPU)	1
DS-PDND-PUB-MDS-GSO	Disease-Specific (Parkinson's disease or other neurodegenerative disorders, PUB, MDS, GSO)	1
DS-PDND-MDS	Disease-Specific (Parkinson's disease or other neurodegenerative disorders, MDS)	1
DS-PDND-PUB	Disease-Specific (Parkinson's disease or other neurodegenerative disorders, PUB)	1
DS-PDND-PUB-MDS	Disease-Specific (Parkinson's disease or other neurodegenerative disorders, PUB, MDS)	1
DS-PD	Disease-Specific (Parkinson's Disease)	2
DS-KRD-IRB-PUB-COL-NPU-MDS	Disease-Specific (Kidney and Related Disorders, IRB, PUB, COL, NPU, MDS)	1
DS-KTO-IRB-PUB-COL-NPU-MDS	Disease-Specific (Kidney Transplant Outcomes, IRB, PUB, COL, NPU, MDS)	1
DS-G-PUB-GSO	Disease-Specific (Glaucoma, PUB, GSO)	1
DS-OBDR-MDS-RD	Disease-Specific (Orofacial birth defects and related phenotypes, MDS, RD)	2
DS-AONDD-IRB	Disease-Specific (Autism or other Neurodevelopmental Disease, IRB)	1
DS-SCOID-IRB	Disease-Specific (Scoliosis, idiopathic, IRB)	1
DS-IMD-IRB	Disease-Specific (Inherited Musculoskeletal Disorders, IRB)	1
DS-CI	Disease-Specific (cardiac inflammation)	2
DS-MSC-MDS	Disease-Specific (Melanoma and Skin Cancer Research, MDS)	2
DS-SCD-IRB-PUB-COL	Disease-Specific (Sickle Cell Disease, IRB, PUB, COL)	1
EA-IRB-PUB-COL	Exchange Area (IRB, PUB, COL)	1
HMB-IRB-COL-MDS	Health/Medical/Biomedical (IRB, COL, MDS)	1
DS-GC	Disease-Specific (Gynecological Cancer)	1
HMB-COL-NPU	Health/Medical/Biomedical (COL, NPU)	1
DS-PSO-RD-NPU	Disease-Specific (Psoriasis and related diseases, NPU)	1
DS-ECA-COL-NPU-GSO	Disease-Specific (Endometrial Cancer, COL, NPU, GSO)	1
DS-MRUH	Disease-Specific (Male Reproductive and Urologic Health)	1
DS-PTL	Disease-Specific (Pre-Term Labor)	1
DS-MHIV	Disease-Specific (Markers of HIV Infection)	1
DS-INF	Disease-Specific (Infertility and Infertility Treatments)	1
DS-E-C-NPU	Disease-Specific (Esophageal Cancer, NPU)	1
DS-BPH-IRB	Disease-Specific (Benign prostatic hyperplasia, IRB)	1
DS-BRCA-GSO	Disease-Specific (Breast Cancer, GSO)	1
DS-HCTCT-IRB	Disease-Specific (Hematopoietic Cell Transplantation and Cell Therapy, IRB)	2
HMB-IRB-PUB-COL-MDS	Health/Medical/Biomedical (IRB, PUB, COL, MDS)	1
KF	Kidney Function	1
DS-EM-COL	Disease-Specific (Erythromelalgia, COL)	1
DS-AST-COPD	Disease-Specific (Asthma and Chronic Obstructive Pulmonary Disease)	2
DS-MDP	Disease-Specific (Movement Disorders Phenotypes)	1
DS-RCC	Disease-Specific (Kidney Cancer)	2
CADM	Cancer in all age groups, other diseases in adults, and methods	1
DS-ASD-RD-IRB	Disease-Specific (Autism Spectrum Disorder and Related Diseases, IRB)	1
DS-ASD-IRB	Disease-Specific (Autism Spectrum Disorder, IRB)	3
DS-BLADDERCA-GSO	Disease-Specific (Bladder Cancer, GSO)	1
DS-LCCLD-MDS	Disease-Specific (Liver Cancer and Chronic Liver Disease, MDS)	1
DS-HCC-IRB	Disease-Specific (Hepatocellular Carcinoma, IRB)	1
DS-LD-IRB-COL-NPU-GSO	Disease-Specific (Lung Disease, IRB, COL, NPU, GSO)	1
DS-CROHN-IRB-PUB-NPU	Disease-Specific (Crohn's Disease, IRB, PUB, NPU)	1
DS-ADX-PUB-NPU-MDS	Disease-Specific (Addictive Disorders, PUB, NPU, MDS)	1
HMB-IRB-PUB-NPU	Health/Medical/Biomedical (IRB, PUB, NPU)	3
DS-MERCURY	Disease-Specific (Mercury and Other Environmental Exposures)	1
HMB-PUB-COL	Health/Medical/Biomedical (PUB, COL)	1
DS-ALC-IRB-PUB-NPU-MDS-RD	Disease-Specific (Alcoholism, IRB, PUB, NPU, MDS, RD)	1
DS-PACA-IRB-MDS	Disease-Specific (Pancreatic Cancer, IRB, MDS)	1
DS-MINF-IRB-PUB-COL	Disease-Specific (Male Infertility, IRB, PUB, COL)	1
DS-MDS	Disease-Specific (Myelodysplasia)	1
DS-HCT-IRB-COL-GSO-RD	Disease-Specific (Hereditary connective tissue disorders, IRB, COL, GSO, RD)	1
DS-LCCLD-COL	Disease-Specific (Liver Cancer and Chronic Liver Disease, COL)	1
DS-PHACE	Disease-Specific (PHACE Syndrome)	1
DS-CVD-IRB-NPU	Disease-Specific (Cardiovascular Disease, IRB, NPU)	1
NHD	Neuroscience, health and disease	1
DS-CVD-NPU-MDS-GSO-RD	Disease-Specific (Cardiovascular Disease, NPU, MDS, GSO, RD)	1
HGV	Human Genetic Variation Research	1
DS-SUD	Disease-Specific (Substance Use Disorders)	1
DS-ALC-IRB-NPU-RD	Disease-Specific (Alcoholism, IRB, NPU, RD)	1
DS-AGR1-NPU	Disease-Specific (Aging Related 1, NPU)	1
DS-LC-NPU	Disease-Specific (Lung Cancer, NPU)	1
GRU-IRB-COL	General Research Use (IRB, COL)	2
DS-AUT-IRB	Disease-Specific (Autism, IRB)	2
DS-LC-IRB	Disease-Specific (Lung Cancer, IRB)	2
DS-GID-MDS	Disease-Specific (Gastrointestinal Diseases, MDS)	1
DS-NAFLD-IRB-NPU	Disease-Specific (Nonalcoholic Fatty Liver Disease, IRB, NPU)	1
DS-SUD-IRB-NPU	Disease-Specific (Substance Use Disorders, IRB, NPU)	1
DS-ALERG-IRB-PUB-COL-NPU	Disease-Specific (Allergy, IRB, PUB, COL, NPU)	1
LHMB	Limited Health/Medical/Biomedical	1
DS-GICA-MDS	Disease-Specific (Gastric Cancer, MDS)	1
DS-COC-IRB-COL	Disease-Specific (Colon Cancer, IRB, COL)	3
DS-CA-IRB-PUB-NPU-MDS	Disease-Specific (Cancer, IRB, PUB, NPU, MDS)	3
DS-MDBRCA-MDS	Disease-Specific (Mammographic Density and Breast Cancer Risk, MDS)	1
DS-HIST-MDS	Disease-Specific (Histiocytoses, MDS)	1
DS-CAD-IRB	Disease-Specific (Coronary Artery Disease, IRB)	1
DS-AUT	Disease-Specific (Autism)	2
DS-ASD-IRB-GSO	Disease-Specific (Autism Spectrum Disorder, IRB, GSO)	1
OVCA	Ovarian Cancer Only	1
ENDTU-MDS	Endometrial Tumors (MDS)	1
DS-EAC-PUB-GSO	Disease-Specific (Epilepsy and Cognition, PUB, GSO)	1
