Consortium	name	library:numSubjects	library:dataCategory.itemsType	library:dataCategory.items	library:datatype.itemsType	library:datatype.items	library:dataUseRestriction	library:indication	study_accession	library:datasetName	library:datasetVersion	library:datasetDescription	library:datasetOwner	library:datasetCustodian	library:datasetDepositor	library:contactEmail	library:institute.itemsType	library:institute.items	library:primaryDiseaseSite	library:primaryDiseaseSite	library:reference	library:dataFileFormats.itemsType	library:dataFileFormats.items	library:technology.itemsType	library:technology.items	library:studyDesign	library:ethnicity.itemsType	library:ethnicity.items	library:cohortCountry	library:requiresExternalApproval	library:lmsvn	library:dulvn	library:discoverableByGroups.itemsType	library:discoverableByGroups.items	tag:tags.itemsType	tag:tags.items	library:DS	library:HMB	library:NMDS	library:NCU	library:NPU	library:NCTRL	library:GRU	library:RS-PD	library:IRB	library:RS-G	library:NAGR	library:DS_URL.itemsType	library:DS_URL.items	library:DS.itemsType	library:orsp	library:dataAccessInstructions	referenceData_hg38_known_indels_sites_VCFs.itemsType	referenceData_hg38_known_indels_sites_VCFs.items	referenceData_hg38_ref_fasta	referenceData_hg38_ref_alt	referenceData_hg38_ref_amb	referenceData_hg38_axiomPoly_resource_vcf_index	referenceData_hg38_ref_fasta_index	referenceData_hg38_mills_resource_vcf	referenceData_hg38_one_thoUnited Statesnd_genomes_resource_vcf	referenceData_hg38_dbsnp_vcf_index	referenceData_hg38_known_indels_sites_indices.itemsType	referenceData_hg38_known_indels_sites_indices.items	referenceData_hg38_one_thoUnited Statesnd_genomes_resource_vcf_index	referenceData_hg38_call_interval_list	referenceData_hg38_ref_dict	referenceData_hg38_dbsnp_vcf	referenceData_hg38_mills_resource_vcf_index	referenceData_hg38_ref_sa	referenceData_hg38_hapmap_resource_vcf_index	referenceData_hg38_hapmap_resource_vcf	referenceData_hg38_omni_resource_vcf_index	referenceData_hg38_axiomPoly_resource_vcf	referenceData_hg38_eval_interval_list	referenceData_hg38_omni_resource_vcf	referenceData_hg38_scattered_calling_intervals_list	referenceData_hg38_unpadded_intervals_file	referenceData_hg38_ref_pac	referenceData_hg38_ref_bwt	referenceData_hg38_ref_ann	diseaseOntologyLabel	indication	reference	datasetCustodian	datasetVersion	projectName	datasetDescription	dulvn	useLimitationOption	NPU	RS-PD	dataUseRestriction	numSubjects	datasetOwner	tags	published	datasetName	technology	discoverableByGroups	NCU	RS-G	IRB	requiresExternalApproval	studyDesign	NAGR	contactEmail	datasetDepositor	datatype	dataCategory	NMDS	NCTRL	GRU	HMB	diseaseOntologyID	dataFileFormats	genome_fasta_index	sample_attributes	subject_phenotypes	transcripts_gtf	genome_fasta_dict	genes_gtf	vcf_index	genome_fasta	vcf_file	lmsvn	rnaseq_genome_fasta_index	rnaseq_genome_fasta	rnaseq_genome_fasta_dict
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_goethe_asd_exome	1965	AttributeValue	Raw Sequencing data	AttributeValue	Exome	DS-ASD	autism spectrum disorder	phs000298	ASC - GOETHE/FREITAG, GERMANY	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study ID: phs000298	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	Germany	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Access WS', 'Apr 23, 2020														ORSP-1222																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_herman_asd_exome	49	AttributeValue	Raw Sequencing data	AttributeValue	Exome	DS-ASD	autism spectrum disorder	registration pending	ASC - HERMAN	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study registration in progress.	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	United States	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Apr 24, 2020', 'Access WS														ORSP-2451																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_hertz-picciotto_asd_exome	1537	AttributeValue	Raw Sequencing data	AttributeValue	Exome	DS-ASD	autism spectrum disorder	phs000298	ASC - HERTZ-PICCIOTTO, UCDAVIS	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study ID: phs000298	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	United States	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	Apr 28, 2020', 'GRCh38/hg38', 'Access WS														ORSP-3170																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_hertz-picciotto_asd_wgs	65	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	DS-ASD	autism spectrum disorder	phs000298	ASC - HERTZ-PICCIOTTO, UCDAVIS	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study ID: phs000298	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	United States	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Access WS', 'Sep 23, 2020														ORSP-3170																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_hultman_asd_exome	1765	AttributeValue	Raw Sequencing data	AttributeValue	Exome	GRU	autism spectrum disorder	phs000298	ASC - HULTMAN, SWEDEN	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study ID: phs000298	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	Sweden	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Access WS', 'Apr 23, 2020														ORSP-1541																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_kolevzon_asd_exome	1128	AttributeValue	Raw Sequencing data	AttributeValue	Exome	GRU	autism spectrum disorder	phs000298	ASC - KOLEVZON, MSSM	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study ID: phs000298	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	United States	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Apr 24, 2020', 'Access WS														ORSP-1275																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_kolevzon_asd_wgs	27	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	GRU	autism spectrum disorder	phs000298	ASC - KOLEVZON, MSSM	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study ID: phs000298	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	United States	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Access WS', 'Sep 23, 2020														ORSP-1275																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_lattig_asd_exome	290	AttributeValue	Raw Sequencing data	AttributeValue	Exome	GRU	autism spectrum disorder	registration pending	ASC - LATTIG	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study registration in progress.	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	Colombia	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Access WS', 'May 5, 2020																																																																																													
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_mcpartland_asd_exome	518	AttributeValue	Raw Sequencing data	AttributeValue	Exome	DS-ND	autism spectrum disorder	registration pending	ASC - MCPARTLAND	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study registration in progress.	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	United States	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Access WS', 'Aug 17, 2020														CG-5792																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_menashe_asd_exome	557	AttributeValue	Raw Sequencing data	AttributeValue	Exome	DS-ASD	autism spectrum disorder	phs000298	ASC - MENASHE, BGU, ISRAEL	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study ID: phs000298	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	Israel	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Apr 24, 2020', 'Access WS														CG-6485																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_minshew_asd_exome	239	AttributeValue	Raw Sequencing data	AttributeValue	Exome	DS-ASD	autism spectrum disorder	registration pending	ASC - MINSHEW	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study registration in progress.	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	United States	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Apr 24, 2020', 'Access WS														ORSP-1229																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_palotie_asd_exome	153	AttributeValue	Raw Sequencing data	AttributeValue	Exome	DS-ASD	autism spectrum disorder	available through EGA	FINNISH - PALOTIE, SFID	1	N/A	Aarno Palotie	EGA	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	Finland	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Apr 24, 2020', 'Access WS																																																																																													
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_parellada_asd_exome	2741	AttributeValue	Raw Sequencing data	AttributeValue	Exome	DS-ASD	autism spectrum disorder	phs000298	ASC - PARELLADA, SPAIN	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study ID: phs000298	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	Spain	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Apr 24, 2020', 'Access WS														ORSP-1338																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_passos-bueno_asd_exome	752	AttributeValue	Raw Sequencing data	AttributeValue	Exome	DS-ASD	autism spectrum disorder	phs000298	ASC - PASSOS-BUENO, BRAZIL	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study ID: phs000298	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	Brazil	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	Apr 28, 2020', 'GRCh38/hg38', 'Access WS														ORSP-2545																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_pericak-vance_asd_exome_	108	AttributeValue	Raw Sequencing data	AttributeValue	Exome	HMB	autism spectrum disorder	phs000298	ASC - PERICAK-VANCE, MIAMI	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study ID: phs000298	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	United States	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	Apr 28, 2020', 'GRCh38/hg38', 'Access WS														ORSP-3273																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_pericak-vance_asd_wgs	295	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	HMB	autism spectrum disorder	phs000298	ASC - PERICAK-VANCE, MIAMI	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study ID: phs000298	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	United States	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Access WS', 'Sep 23, 2020														ORSP-3273																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_persico_asd_exome	471	AttributeValue	Raw Sequencing data	AttributeValue	Exome	GRU-NPU	autism spectrum disorder	phs000298	ASC - PERSICO, ITALY	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study ID: phs000298	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	Italy	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	Apr 28, 2020', 'GRCh38/hg38', 'Access WS														ORSP-3797																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_puura_asd_exome	209	AttributeValue	Raw Sequencing data	AttributeValue	Exome	not applicable	autism spectrum disorder	available through EGA	FINNISH - PUURA, FINLAND	1	N/A	Puura	EGA	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	Finland	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Apr 24, 2020', 'Access WS														ORSP-2686																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_renieri_asd_exome	623	AttributeValue	Raw Sequencing data	AttributeValue	Exome	DS-MH	autism spectrum disorder	phs000298	ASC - RENIERI, ITALY	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study ID: phs000298	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	Italy	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Apr 24, 2020', 'Access WS														CG-4898																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_TASC_asd_exome	3173	AttributeValue	Raw Sequencing data	AttributeValue	Exome	DS-ASD	autism spectrum disorder	registration pending	ASC - NIMH TASC	1	The Autism Simplex Collection (TASC)	N/A	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	N/A	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Apr 24, 2020', 'Access WS														CG-6484																																																																															
CCDG	AnVIL_ccdg_asc_ndd_daly_talkowski_weiss_asd_exome	41	AttributeValue	Raw Sequencing data	AttributeValue	Exome	DS-ASD	autism spectrum disorder	phs000298	ASC - WEISS	1	The Autism Sequencing Consortium (ASC) was founded by Joseph D. Buxbaum and colleagues as an international group of scientists who share autism spectrum disorder (ASD) samples and genetic data. The PIs are Drs. Joseph D. Buxbaum (Icahn School of Medicine at Mount Sinai), Mark J. Daly (Broad Institute of MIT and Harvard), Bernie Devlin (University of Pittsburgh School of Medicine), Kathryn Roeder (Carnegie Mellon University, Matthew State and Stephan Sanders (University of California, San Francisco). The rationale for the ASC is described in Buxbaum et al. 2012, and this paper should be cited when referencing the data set. All shared data and analysis is hosted at a single site, which enables joint analysis of large-scale data from many groups. dbGaP study ID: phs000298 and consent group pending registration	Mark Daly	NIMH	Caroline Cusick	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG NP	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Family	AttributeValue	N/A	United States	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Apr 24, 2020', 'Access WS														ORSP-1543																																																																															
CCDG	anvil_ccdg_broad_ai_ibd_daly_bernstein_wes	536	AttributeValue	Raw Sequencing data	AttributeValue	Exome	not applicable	inflammatory bowel disease	registration pending	IBD - BERNSTEIN	1	N/A	Mark Daly	NHGRI	Christine Stevens	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG AI	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Case/Control	AttributeValue	N/A	Canada	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	GRCh38/hg38', 'Access WS', 'Nov 4, 2019', 'Nov 6, 2019														CG-5969																																																																															
CCDG	anvil_ccdg_broad_ai_ibd_daly_chung_gider_wes	436	AttributeValue	Raw Sequencing data	AttributeValue	Exome	DS-GI,18+	inflammatory bowel disease	registration pending	IBD - CHUNG	1	GI Disease and Endoscopy Registry (GIDER) - Massachusetts General Hospital. A registry of healthy patients coming in for screening or surveillance colonoscopy and/or upper endoscopy.	Mark Daly	NHGRI	Christine Stevens	help@lists.anvilproject.org	AttributeValue	Broad Institute	N/A	CCDG AI	GRCh38/hg38	AttributeValue	CRAM', 'VCF	AttributeValue	Illumina	Case/Control	AttributeValue	N/A	United States	FALSE	6	4	AttributeValue	all_broad-users	AttributeValue	Oct 29, 2019', 'GRCh38/hg38', 'Access WS														ORSP-3448																																																																															
