PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31775856","Genomic screening and genomic diagnostic testing-two very different kettles of fish","Biesecker LG.","Genome Med. 2019 Nov 27;11(1):75. doi: 10.1186/s13073-019-0696-9.","Biesecker LG","Genome Med","2019","2019/11/29","PMC6882020","","10.1186/s13073-019-0696-9"
"31767985","Optimizing genetics online resources for diverse readers","Chang J, Penon-Portmann M, Shieh JT.","Genet Med. 2020 Mar;22(3):640-645. doi: 10.1038/s41436-019-0695-7. Epub 2019 Nov 26.","Chang J","Genet Med","2020","2019/11/27","PMC7056640","","10.1038/s41436-019-0695-7"
"31693580","Clinical utility of genomic sequencing","Neu MB, Bowling KM, Cooper GM.","Curr Opin Pediatr. 2019 Dec;31(6):732-738. doi: 10.1097/MOP.0000000000000815.","Neu MB","Curr Opin Pediatr","2019","2019/11/07","PMC7197344","NIHMS1549375","10.1097/MOP.0000000000000815"
"31552799","Can precision medicine help achieve the goal of reducing care when the risks exceed the benefits?","Phillips KA, Marshall DA, Kurian AW.","Per Med. 2019 Sep;16(5):365-367. doi: 10.2217/pme-2019-0045. Epub 2019 Sep 25.","Phillips KA","Per Med","2019","2019/09/26","PMC6785357","NIHMS1027650","10.2217/pme-2019-0045"
"31541538","Participant Engagement in Translational Genomics Research: Respect for Persons-and Then Some","Childerhose JE, Finnila CR, Yu JH, Koenig BA, McEwen J, Berg SL, Wilfond BS, Appelbaum PS, Brothers KB.","Ethics Hum Res. 2019 Sep;41(5):2-15. doi: 10.1002/eahr.500029.","Childerhose JE","Ethics Hum Res","2019","2019/09/22","PMC7199158","NIHMS1579619","10.1002/eahr.500029"
"31505002","Perceptions of uncertainties about carrier results identified by exome sequencing in a randomized controlled trial","Umstead KL, Han PKJ, Lewis KL, Miller IM, Hepler CL, Thompson LJ, Wolfsberg TG, Nguyen AD, Fredriksen MT, Gibney G, Turbitt E, Biesecker LG, Biesecker BB.","Transl Behav Med. 2020 May 20;10(2):441-450. doi: 10.1093/tbm/ibz111.","Umstead KL","Transl Behav Med","2020","2019/09/11","PMC7237536","","10.1093/tbm/ibz111"
"31501586","Perspectives of US private payers on insurance coverage for pediatric and prenatal exome sequencing: Results of a study from the Program in Prenatal and Pediatric Genomic Sequencing (P3EGS)","Trosman JR, Weldon CB, Slavotinek A, Norton ME, Douglas MP, Phillips KA.","Genet Med. 2020 Feb;22(2):283-291. doi: 10.1038/s41436-019-0650-7. Epub 2019 Sep 10.","Trosman JR","Genet Med","2020","2019/09/11","PMC7004856","NIHMS1051617","10.1038/s41436-019-0650-7"
"31501304","Child Neurology: Spastic paraparesis and dystonia with a novel ADCY5 mutation","Dean M, Messiaen L, Cooper GM, Amaral MD, Rashid S, Korf BR, Standaert DG.","Neurology. 2019 Sep 10;93(11):510-514. doi: 10.1212/WNL.0000000000008089.","Dean M","Neurology","2019","2019/09/11","PMC6746208","","10.1212/WNL.0000000000008089"
"31479589","Overview of Specifications to the ACMG/AMP Variant Interpretation Guidelines","Harrison SM, Biesecker LG, Rehm HL.","Curr Protoc Hum Genet. 2019 Sep;103(1):e93. doi: 10.1002/cphg.93.","Harrison SM","Curr Protoc Hum Genet","2019","2019/09/04","PMC6885382","NIHMS1040944","10.1002/cphg.93"
"31465153","Developmental and epileptic encephalopathy in two siblings with a novel, homozygous missense variant in SCN1B","Darras N, Ha TK, Rego S, Martin PM, Barroso E, Slavotinek AM, Cilio MR.","Am J Med Genet A. 2019 Nov;179(11):2190-2195. doi: 10.1002/ajmg.a.61344. Epub 2019 Aug 29.","Darras N","Am J Med Genet A","2019","2019/08/30","","","10.1002/ajmg.a.61344"
"31400517","Clinical exome sequencing vs. usual care for hereditary colorectal cancer diagnosis: A pilot comparative effectiveness study","Niu X, Amendola LM, Hart R, Bennette CS, Heagerty P, Horike-Pyne M, Trinidad SB, Rosenthal EA, Comstock B, Nefcy C, Hisama FM, Bennett RL, Grady WM, Gallego CJ, Tarczy-Hornoch P, Fullerton SM, Burke W, Regier DA, Dorschner MO, Shirts BH, Robertson PD, Nickerson DA, Patrick DL, Jarvik GP, Veenstra DL.","Contemp Clin Trials. 2019 Sep;84:105820. doi: 10.1016/j.cct.2019.105820. Epub 2019 Aug 7.","Niu X","Contemp Clin Trials","2019","2019/08/11","PMC6741782","NIHMS1536843","10.1016/j.cct.2019.105820"
"31327001","Pathogenic WDFY3 variants cause neurodevelopmental disorders and opposing effects on brain size","Le Duc D, Giulivi C, Hiatt SM, Napoli E, Panoutsopoulos A, Harlan De Crescenzo A, Kotzaeridou U, Syrbe S, Anagnostou E, Azage M, Bend R, Begtrup A, Brown NJ, Büttner B, Cho MT, Cooper GM, Doering JH, Dubourg C, Everman DB, Hildebrand MS, Santos FJR, Kellam B, Keller-Ramey J, Lemke JR, Liu S, Niyazov D, Payne K, Person R, Quélin C, Schnur RE, Smith BT, Strober J, Walker S, Wallis M, Walsh L, Yang S, Yuen RKC, Ziegler A, Sticht H, Pride MC, Orosco L, Martínez-Cerdeño V, Silverman JL, Crawley JN, Scherer SW, Zarbalis KS, Jamra R.","Brain. 2019 Sep 1;142(9):2617-2630. doi: 10.1093/brain/awz198.","Le Duc D","Brain","2019","2019/07/22","PMC6736092","","10.1093/brain/awz198"
"31317629","Insurance coverage does not predict outcomes of genetic testing: The search for meaning in payer decisions for germline cancer tests","Amendola LM, Hart MR, Bennett RL, Horike-Pyne M, Dorschner M, Shirts B, Jarvik GP.","J Genet Couns. 2019 Dec;28(6):1208-1213. doi: 10.1002/jgc4.1155. Epub 2019 Jul 17.","Amendola LM","J Genet Couns","2019","2019/07/19","PMC6901727","NIHMS1040447","10.1002/jgc4.1155"
"31313633","Consent for clinical genome sequencing: considerations from the Clinical Sequencing Exploratory Research Consortium","Yu JH, Appelbaum PS, Brothers KB, Joffe S, Kauffman TL, Koenig BA, Prince AE, Scollon S, Wolf SM, Bernhardt BA, Wilfond BS; Clinical Sequencing Exploratory Research (CSER) Consortium Informed Consent and Governance Working Group.","Per Med. 2019 Jul;16(4):325-333. doi: 10.2217/pme-2018-0076. Epub 2019 Jul 17.","Yu JH","Per Med","2019","2019/07/18","PMC6681646","","10.2217/pme-2018-0076"
"31312045","Genomic knowledge in the context of diagnostic exome sequencing: changes over time, persistent subgroup differences, and associations with psychological sequencing outcomes","Rini C, Henderson GE, Evans JP, Berg JS, Foreman AKM, Griesemer I, Waltz M, O'Daniel JM, Roche MI.","Genet Med. 2020 Jan;22(1):60-68. doi: 10.1038/s41436-019-0600-4. Epub 2019 Jul 17.","Rini C","Genet Med","2020","2019/07/18","PMC6946868","NIHMS1536029","10.1038/s41436-019-0600-4"
"31267042","Correction: Variants in MED12L, encoding a subunit of the Mediator kinase module, are responsible for intellectual disability associated with transcriptional defect","Nizon M, Laugel V, Flanigan KM, Pastore M, Waldrop MA, Rosenfeld JA, Marom R, Xiao R, Gerard A, Pichon O, Le Caignec C, Gérard M, Dieterich K, Truitt Cho M, McWalter K, Hiatt S, Thompson ML, Bézieau S, Wadley A, Wierenga KJ, Egly JM, Isidor B.","Genet Med. 2019 Nov;21(11):2663. doi: 10.1038/s41436-019-0590-2.","Nizon M","Genet Med","2019","2019/07/04","","","10.1038/s41436-019-0590-2"
"31204012","Third-Party Genetic Interpretation Tools: A Mixed-Methods Study of Consumer Motivation and Behavior","Nelson SC, Bowen DJ, Fullerton SM.","Am J Hum Genet. 2019 Jul 3;105(1):122-131. doi: 10.1016/j.ajhg.2019.05.014. Epub 2019 Jun 13.","Nelson SC","Am J Hum Genet","2019","2019/06/18","PMC6612532","","10.1016/j.ajhg.2019.05.014"
"31189963","Psychological outcomes related to exome and genome sequencing result disclosure: a meta-analysis of seven Clinical Sequencing Exploratory Research (CSER) Consortium studies","Robinson JO, Wynn J, Biesecker B, Biesecker LG, Bernhardt B, Brothers KB, Chung WK, Christensen KD, Green RC, McGuire AL, Hart MR, Griesemer I, Patrick DL, Rini C, Veenstra D, Cronin AM, Gray SW.","Genet Med. 2019 Dec;21(12):2781-2790. doi: 10.1038/s41436-019-0565-3. Epub 2019 Jun 13.","Robinson JO","Genet Med","2019","2019/06/14","PMC7260995","NIHMS1582829","10.1038/s41436-019-0565-3"
"31186522","Responsibility, culpability, and parental views on genomic testing for seriously ill children","Malek J, Pereira S, Robinson JO, Gutierrez AM, Slashinski MJ, Parsons DW, Plon SE, McGuire AL.","Genet Med. 2019 Dec;21(12):2791-2797. doi: 10.1038/s41436-019-0570-6. Epub 2019 Jun 12.","Malek J","Genet Med","2019","2019/06/13","PMC9089459","NIHMS1800722","10.1038/s41436-019-0570-6"
"31145414","Emergence of Hybrid Models of Genetic Testing Beyond Direct-to-Consumer or Traditional Labs","Phillips KA, Trosman JR, Douglas MP.","JAMA. 2019 Jun 25;321(24):2403-2404. doi: 10.1001/jama.2019.5670.","Phillips KA","JAMA","2019","2019/05/31","PMC6684382","NIHMS1027647","10.1001/jama.2019.5670"
"31104772","The Genomic Medicine Integrative Research Framework: A Conceptual Framework for Conducting Genomic Medicine Research","Horowitz CR, Orlando LA, Slavotinek AM, Peterson J, Angelo F, Biesecker B, Bonham VL, Cameron LD, Fullerton SM, Gelb BD, Goddard KAB, Hailu B, Hart R, Hindorff LA, Jarvik GP, Kaufman D, Kenny EE, Knight SJ, Koenig BA, Korf BR, Madden E, McGuire AL, Ou J, Wasserstein MP, Robinson M, Leventhal H, Sanderson SC.","Am J Hum Genet. 2019 Jun 6;104(6):1088-1096. doi: 10.1016/j.ajhg.2019.04.006. Epub 2019 May 16.","Horowitz CR","Am J Hum Genet","2019","2019/05/21","PMC6556906","","10.1016/j.ajhg.2019.04.006"
"31024343","A YWHAZ Variant Associated With Cardiofaciocutaneous Syndrome Activates the RAF-ERK Pathway","Popov IK, Hiatt SM, Whalen S, Keren B, Ruivenkamp C, van Haeringen A, Chen MJ, Cooper GM, Korf BR, Chang C.","Front Physiol. 2019 Apr 8;10:388. doi: 10.3389/fphys.2019.00388. eCollection 2019.","Popov IK","Front Physiol","2019","2019/04/27","PMC6465419","","10.3389/fphys.2019.00388"
"30958015","Psychological adaptation to diagnostic genomic sequencing results: The role of hope fulfillment","Griesemer I, Moore E, Khan C, Roche M, Henderson G, Rini C.","Health Psychol. 2019 Jun;38(6):527-535. doi: 10.1037/hea0000733. Epub 2019 Apr 8.","Griesemer I","Health Psychol","2019","2019/04/09","PMC6522310","NIHMS1022686","10.1037/hea0000733"
"30948857","Successful recruitment and retention of diverse participants in a genomics clinical trial: a good invitation to a great party","Horowitz CR, Sabin T, Ramos M, Richardson LD, Hauser D, Robinson M, Fei K.","Genet Med. 2019 Oct;21(10):2364-2370. doi: 10.1038/s41436-019-0498-x. Epub 2019 Apr 5.","Horowitz CR","Genet Med","2019","2019/04/06","","","10.1038/s41436-019-0498-x"
"30901549","Personalized Medicine and the Power of Electronic Health Records","Abul-Husn NS, Kenny EE.","Cell. 2019 Mar 21;177(1):58-69. doi: 10.1016/j.cell.2019.02.039.","Abul-Husn NS","Cell","2019","2019/03/23","PMC6921466","NIHMS1522962","10.1016/j.cell.2019.02.039"
"30894702","Rethinking the ""open future"" argument against predictive genetic testing of children","Garrett JR, Lantos JD, Biesecker LG, Childerhose JE, Chung WK, Holm IA, Koenig BA, McEwen JE, Wilfond BS, Brothers K; Clinical Sequencing Exploratory Research (CSER) Consortium Pediatrics Working Group.","Genet Med. 2019 Oct;21(10):2190-2198. doi: 10.1038/s41436-019-0483-4. Epub 2019 Mar 21.","Garrett JR","Genet Med","2019","2019/03/22","PMC6754817","NIHMS1525469","10.1038/s41436-019-0483-4"
"30879638","Deleterious Variation in BRSK2 Associates with a Neurodevelopmental Disorder","Hiatt SM, Thompson ML, Prokop JW, Lawlor JMJ, Gray DE, Bebin EM, Rinne T, Kempers M, Pfundt R, van Bon BW, Mignot C, Nava C, Depienne C, Kalsner L, Rauch A, Joset P, Bachmann-Gagescu R, Wentzensen IM, McWalter K, Cooper GM.","Am J Hum Genet. 2019 Apr 4;104(4):701-708. doi: 10.1016/j.ajhg.2019.02.002. Epub 2019 Mar 14.","Hiatt SM","Am J Hum Genet","2019","2019/03/19","PMC6451696","","10.1016/j.ajhg.2019.02.002"
"30763311","Emerging RAS superfamily conditions involving GTPase function","Shieh JTC.","PLoS Genet. 2019 Feb 14;15(2):e1007870. doi: 10.1371/journal.pgen.1007870. eCollection 2019 Feb.","Shieh JTC","PLoS Genet","2019","2019/02/15","PMC6375560","","10.1371/journal.pgen.1007870"
"30739909","Variants in TCF20 in neurodevelopmental disability: description of 27 new patients and review of literature","Torti E, Keren B, Palmer EE, Zhu Z, Afenjar A, Anderson IJ, Andrews MV, Atkinson C, Au M, Berry SA, Bowling KM, Boyle J, Buratti J, Cathey SS, Charles P, Cogne B, Courtin T, Escobar LF, Finley SL, Graham JM Jr, Grange DK, Heron D, Hewson S, Hiatt SM, Hibbs KA, Jayakar P, Kalsner L, Larcher L, Lesca G, Mark PR, Miller K, Nava C, Nizon M, Pai GS, Pappas J, Parsons G, Payne K, Putoux A, Rabin R, Sabatier I, Shinawi M, Shur N, Skinner SA, Valence S, Warren H, Whalen S, Crunk A, Douglas G, Monaghan KG, Person RE, Willaert R, Solomon BD, Juusola J.","Genet Med. 2019 Sep;21(9):2036-2042. doi: 10.1038/s41436-019-0454-9. Epub 2019 Feb 11.","Torti E","Genet Med","2019","2019/02/12","PMC7171701","NIHMS1579844","10.1038/s41436-019-0454-9"
"30670880","Correction: Secondary findings from clinical genomic sequencing: prevalence, patient perspectives, family history assessment, and health-care costs from a multisite study","Hart MR, Biesecker BB, Blout CL, Christensen KD, Amendola LM, Bergstrom KL, Biswas S, Bowling KM, Brothers KB, Conlin LK, Cooper GM, Dulik MC, East KM, Everett JN, Finnila CR, Ghazani AA, Gilmore MJ, Goddard KAB, Jarvik GP, Johnston JJ, Kauffman TL, Kelley WV, Krier JB, Lewis KL, McGuire AL, McMullen C, Ou J, Plon SE, Rehm HL, Richards CS, Romasko EJ, Sagardia AM, Spinner NB, Thompson ML, Turbitt E, Vassy JL, Wilfond BS, Veenstra DL, Berg JS, Green RC, Biesecker LG, Hindorff LA.","Genet Med. 2019 May;21(5):1261-1262. doi: 10.1038/s41436-019-0440-2.","Hart MR","Genet Med","2019","2019/01/24","","","10.1038/s41436-019-0440-2"
"30639322","ZMIZ1 Variants Cause a Syndromic Neurodevelopmental Disorder","Carapito R, Ivanova EL, Morlon A, Meng L, Molitor A, Erdmann E, Kieffer B, Pichot A, Naegely L, Kolmer A, Paul N, Hanauer A, Tran Mau-Them F, Jean-Marçais N, Hiatt SM, Cooper GM, Tvrdik T, Muir AM, Dimartino C, Chopra M, Amiel J, Gordon CT, Dutreux F, Garde A, Thauvin-Robinet C, Wang X, Leduc MS, Phillips M, Crawford HP, Kukolich MK, Hunt D, Harrison V, Kharbanda M; Deciphering Developmental Disorders Study; University of Washington Center for Mendelian Genomics; Smigiel R, Gold N, Hung CY, Viskochil DH, Dugan SL, Bayrak-Toydemir P, Joly-Helas G, Guerrot AM, Schluth-Bolard C, Rio M, Wentzensen IM, McWalter K, Schnur RE, Lewis AM, Lalani SR, Mensah-Bonsu N, Céraline J, Sun Z, Ploski R, Bacino CA, Mefford HC, Faivre L, Bodamer O, Chelly J, Isidor B, Bahram S.","Am J Hum Genet. 2019 Feb 7;104(2):319-330. doi: 10.1016/j.ajhg.2018.12.007. Epub 2019 Jan 10.","Carapito R","Am J Hum Genet","2019","2019/01/15","PMC6369415","","10.1016/j.ajhg.2018.12.007"
"30581014","Agents of empathy: How medical interpreters bridge sociocultural gaps in genomic sequencing disclosures with Spanish-speaking families","Gutierrez AM, Statham EE, Robinson JO, Slashinski MJ, Scollon S, Bergstrom KL, Street RL Jr, Parsons DW, Plon SE, McGuire AL.","Patient Educ Couns. 2019 May;102(5):895-901. doi: 10.1016/j.pec.2018.12.012. Epub 2018 Dec 10.","Gutierrez AM","Patient Educ Couns","2019","2018/12/25","PMC7197396","NIHMS1052184","10.1016/j.pec.2018.12.012"
"30568309","Ethnic identity and engagement with genome sequencing research","Turbitt E, Roberts MC, Hollister BM, Lewis KL, Biesecker LG, Klein WMP.","Genet Med. 2019 Aug;21(8):1735-1743. doi: 10.1038/s41436-018-0410-0. Epub 2018 Dec 20.","Turbitt E","Genet Med","2019","2018/12/21","PMC6586548","NIHMS1521479","10.1038/s41436-018-0410-0"
"30537670","The refractory epilepsy screening tool for Lennox-Gastaut syndrome (REST-LGS)","Piña-Garza JE, Boyce D, Tworek DM, Davis KA, Gatens H, Lai G, McGoldrick PE, Thomas B, Wolf SM.","Epilepsy Behav. 2019 Jan;90:148-153. doi: 10.1016/j.yebeh.2018.11.016. Epub 2018 Dec 8.","Piña-Garza JE","Epilepsy Behav","2019","2018/12/12","","","10.1016/j.yebeh.2018.11.016"
"30526861","Aberrant Inclusion of a Poison Exon Causes Dravet Syndrome and Related SCN1A-Associated Genetic Epilepsies","Carvill GL, Engel KL, Ramamurthy A, Cochran JN, Roovers J, Stamberger H, Lim N, Schneider AL, Hollingsworth G, Holder DH, Regan BM, Lawlor J, Lagae L, Ceulemans B, Bebin EM, Nguyen J; EuroEPINOMICS Rare Epilepsy Syndrome, Myoclonic-Astatic Epilepsy, and Dravet Working Group; Barsh GS, Weckhuysen S, Meisler M, Berkovic SF, De Jonghe P, Scheffer IE, Myers RM, Cooper GM, Mefford HC.","Am J Hum Genet. 2018 Dec 6;103(6):1022-1029. doi: 10.1016/j.ajhg.2018.10.023.","Carvill GL","Am J Hum Genet","2018","2018/12/12","PMC6288405","","10.1016/j.ajhg.2018.10.023"
"30500825","De novo mutations in the GTP/GDP-binding region of RALA, a RAS-like small GTPase, cause intellectual disability and developmental delay","Hiatt SM, Neu MB, Ramaker RC, Hardigan AA, Prokop JW, Hancarova M, Prchalova D, Havlovicova M, Prchal J, Stranecky V, Yim DKC, Powis Z, Keren B, Nava C, Mignot C, Rio M, Revah-Politi A, Hemati P, Stong N, Iglesias AD, Suchy SF, Willaert R, Wentzensen IM, Wheeler PG, Brick L, Kozenko M, Hurst ACE, Wheless JW, Lacassie Y, Myers RM, Barsh GS, Sedlacek Z, Cooper GM.","PLoS Genet. 2018 Nov 30;14(11):e1007671. doi: 10.1371/journal.pgen.1007671. eCollection 2018 Nov.","Hiatt SM","PLoS Genet","2018","2018/12/01","PMC6291162","","10.1371/journal.pgen.1007671"
"30482469","Exome sequencing disclosures in pediatric cancer care: Patterns of communication among oncologists, genetic counselors, and parents","Scollon S, Majumder MA, Bergstrom K, Wang T, McGuire AL, Robinson JO, Gutierrez AM, Lee CH, Hilsenbeck SG, Plon SE, Parsons DW, Street RL Jr.","Patient Educ Couns. 2019 Apr;102(4):680-686. doi: 10.1016/j.pec.2018.11.007. Epub 2018 Nov 12.","Scollon S","Patient Educ Couns","2019","2018/11/29","PMC6440863","NIHMS1514397","10.1016/j.pec.2018.11.007"
"30467402","Qualitative study of system-level factors related to genomic implementation","Zebrowski AM, Ellis DE, Barg FK, Sperber NR, Bernhardt BA, Denny JC, Dexter PR, Ginsburg GS, Horowitz CR, Johnson JA, Levy MA, Orlando LA, Pollin TI, Skaar TC, Kimmel SE.","Genet Med. 2019 Jul;21(7):1534-1540. doi: 10.1038/s41436-018-0378-9. Epub 2018 Nov 23.","Zebrowski AM","Genet Med","2019","2018/11/24","PMC6533158","NIHMS1515912","10.1038/s41436-018-0378-9"
"30455898","A case for expanding carrier testing to include actionable X-linked disorders","Rope AF, Kauffman TL, Himes P, Amendola LM, Punj S, Akkari Y, Potter A, Davis JV, Schneider JL, Reiss JA, Gilmore MJ, McMullen CK, Nickerson DA, Richards CS, Jarvik GP, Wilfond BS, Goddard KAB.","Clin Case Rep. 2018 Sep 19;6(11):2092-2095. doi: 10.1002/ccr3.1806. eCollection 2018 Nov.","Rope AF","Clin Case Rep","2018","2018/11/21","PMC6230667","","10.1002/ccr3.1806"
"30449657","Mutations in MAST1 Cause Mega-Corpus-Callosum Syndrome with Cerebellar Hypoplasia and Cortical Malformations","Tripathy R, Leca I, van Dijk T, Weiss J, van Bon BW, Sergaki MC, Gstrein T, Breuss M, Tian G, Bahi-Buisson N, Paciorkowski AR, Pagnamenta AT, Wenninger-Weinzierl A, Martinez-Reza MF, Landler L, Lise S, Taylor JC, Terrone G, Vitiello G, Del Giudice E, Brunetti-Pierri N, D'Amico A, Reymond A, Voisin N, Bernstein JA, Farrelly E, Kini U, Leonard TA, Valence S, Burglen L, Armstrong L, Hiatt SM, Cooper GM, Aldinger KA, Dobyns WB, Mirzaa G, Pierson TM, Baas F, Chelly J, Cowan NJ, Keays DA.","Neuron. 2018 Dec 19;100(6):1354-1368.e5. doi: 10.1016/j.neuron.2018.10.044. Epub 2018 Nov 15.","Tripathy R","Neuron","2018","2018/11/20","PMC6436622","NIHMS1512786","10.1016/j.neuron.2018.10.044"
"30382154","Knowledge, motivations, expectations, and traits of an African, African-American, and Afro-Caribbean sequencing cohort and comparisons to the original ClinSeq(®) cohort","Lewis KL, Heidlebaugh AR, Epps S, Han PKJ, Fishler KP, Klein WMP, Miller IM, Ng D, Hepler C, Biesecker BB, Biesecker LG.","Genet Med. 2019 Jun;21(6):1355-1362. doi: 10.1038/s41436-018-0341-9. Epub 2018 Nov 1.","Lewis KL","Genet Med","2019","2018/11/02","PMC7721818","NIHMS1642846","10.1038/s41436-018-0341-9"
"30287922","Secondary findings from clinical genomic sequencing: prevalence, patient perspectives, family history assessment, and health-care costs from a multisite study","Hart MR, Biesecker BB, Blout CL, Christensen KD, Amendola LM, Bergstrom KL, Biswas S, Bowling KM, Brothers KB, Conlin LK, Cooper GM, Dulik MC, East KM, Everett JN, Finnila CR, Ghazani AA, Gilmore MJ, Goddard KAB, Jarvik GP, Johnston JJ, Kauffman TL, Kelley WV, Krier JB, Lewis KL, McGuire AL, McMullen C, Ou J, Plon SE, Rehm HL, Richards CS, Romasko EJ, Miren Sagardia A, Spinner NB, Thompson ML, Turbitt E, Vassy JL, Wilfond BS, Veenstra DL, Berg JS, Green RC, Biesecker LG, Hindorff LA.","Genet Med. 2019 May;21(5):1100-1110. doi: 10.1038/s41436-018-0308-x. Epub 2018 Oct 5.","Hart MR","Genet Med","2019","2018/10/06","PMC6450774","NIHMS1003191","10.1038/s41436-018-0308-x"
"30269351","NBEA: Developmental disease gene with early generalized epilepsy phenotypes","Mulhern MS, Stumpel C, Stong N, Brunner HG, Bier L, Lippa N, Riviello J, Rouhl RPW, Kempers M, Pfundt R, Stegmann APA, Kukolich MK, Telegrafi A, Lehman A; CAUSES study; Lopez-Rangel E, Houcinat N, Barth M, den Hollander N, Hoffer MJV, Weckhuysen S; EuroEPINOMICS-RES-MAE working group; Roovers J, Djemie T, Barca D, Ceulemans B, Craiu D, Lemke JR, Korff C, Mefford HC, Meyers CT, Siegler Z, Hiatt SM, Cooper GM, Bebin EM, Snijders Blok L, Veenstra-Knol HE, Baugh EH, Brilstra EH, Volker-Touw CML, van Binsbergen E, Revah-Politi A, Pereira E, McBrian D, Pacault M, Isidor B, Le Caignec C, Gilbert-Dussardier B, Bilan F, Heinzen EL, Goldstein DB, Stevens SJC, Sands TT.","Ann Neurol. 2018 Nov;84(5):788-795. doi: 10.1002/ana.25350. Epub 2018 Oct 25.","Mulhern MS","Ann Neurol","2018","2018/10/01","PMC6249120","NIHMS993973","10.1002/ana.25350"
"30245516","The evolving landscape of expanded carrier screening: challenges and opportunities","Kraft SA, Duenas D, Wilfond BS, Goddard KAB.","Genet Med. 2019 Apr;21(4):790-797. doi: 10.1038/s41436-018-0273-4. Epub 2018 Sep 24.","Kraft SA","Genet Med","2019","2018/09/25","PMC6752283","","10.1038/s41436-018-0273-4"
"30237575","Factors influencing NCGENES research participants' requests for non-medically actionable secondary findings","Roche MI, Griesemer I, Khan CM, Moore E, Lin FC, O'Daniel JM, Foreman AKM, Lee K, Powell BC, Berg JS, Evans JP, Henderson GE, Rini C.","Genet Med. 2019 May;21(5):1092-1099. doi: 10.1038/s41436-018-0294-z. Epub 2018 Sep 21.","Roche MI","Genet Med","2019","2018/09/22","PMC6522134","NIHMS1507902","10.1038/s41436-018-0294-z"
"30224110","From the Past to the Present: Insurer Coverage Frameworks for Next-Generation Tumor Sequencing","Trosman JR, Weldon CB, Gradishar WJ, Benson AB 3rd, Cristofanilli M, Kurian AW, Ford JM, Balch A, Watkins J, Phillips KA.","Value Health. 2018 Sep;21(9):1062-1068. doi: 10.1016/j.jval.2018.06.011. Epub 2018 Aug 3.","Trosman JR","Value Health","2018","2018/09/19","PMC6374027","NIHMS1010237","10.1016/j.jval.2018.06.011"
"30193136","The Clinical Sequencing Evidence-Generating Research Consortium: Integrating Genomic Sequencing in Diverse and Medically Underserved Populations","Amendola LM, Berg JS, Horowitz CR, Angelo F, Bensen JT, Biesecker BB, Biesecker LG, Cooper GM, East K, Filipski K, Fullerton SM, Gelb BD, Goddard KAB, Hailu B, Hart R, Hassmiller-Lich K, Joseph G, Kenny EE, Koenig BA, Knight S, Kwok PY, Lewis KL, McGuire AL, Norton ME, Ou J, Parsons DW, Powell BC, Risch N, Robinson M, Rini C, Scollon S, Slavotinek AM, Veenstra DL, Wasserstein MP, Wilfond BS, Hindorff LA; CSER consortium; Plon SE, Jarvik GP.","Am J Hum Genet. 2018 Sep 6;103(3):319-327. doi: 10.1016/j.ajhg.2018.08.007.","Amendola LM","Am J Hum Genet","2018","2018/09/08","PMC6128306","","10.1016/j.ajhg.2018.08.007"
"30133723","Sequencing Newborns: A Call for Nuanced Use of Genomic Technologies","Johnston J, Lantos JD, Goldenberg A, Chen F, Parens E, Koenig BA; members of the NSIGHT Ethics and Policy Advisory Board.","Hastings Cent Rep. 2018 Jul;48 Suppl 2(Suppl 2):S2-S6. doi: 10.1002/hast.874.","Johnston J","Hastings Cent Rep","2018","2018/08/23","PMC6901349","NIHMS1043864","10.1002/hast.874"
"30133189","Approaches to carrier testing and results disclosure in translational genomics research: The clinical sequencing exploratory research consortium experience","Porter KM, Kauffman TL, Koenig BA, Lewis KL, Rehm HL, Richards CS, Strande NT, Tabor HK, Wolf SM, Yang Y, Amendola LM, Azzariti DR, Berg JS, Bergstrom K, Biesecker LG, Biswas S, Bowling KM, Chung WK, Clayton EW, Conlin LK, Cooper GM, Dulik MC, Garraway LA, Ghazani AA, Green RC, Hiatt SM, Jamal SM, Jarvik GP, Goddard KAB, Wilfond BS; members of the CSER Actionability and Return of Results Working Group.","Mol Genet Genomic Med. 2018 Nov;6(6):898-909. doi: 10.1002/mgg3.453. Epub 2018 Aug 21.","Porter KM","Mol Genet Genomic Med","2018","2018/08/23","PMC6305639","","10.1002/mgg3.453"
"30086550","Examining the Cascade of Participant Attrition in a Genomic Medicine Research Study: Barriers and Facilitators to Achieving Diversity","Moore EG, Roche M, Rini C, Corty EW, Girnary Z, O'Daniel JM, Lin FC, Corbie-Smith G, Evans JP, Henderson GE, Berg JS.","Public Health Genomics. 2017;20(6):332-342. doi: 10.1159/000490519. Epub 2018 Aug 7.","Moore EG","Public Health Genomics","2017","2018/08/08","PMC6112240","NIHMS976383","10.1159/000490519"
"30020962","Assessment of willingness to pay for expanded carrier screening among women and couples undergoing preconception carrier screening","Clarke EV, Schneider JL, Lynch F, Kauffman TL, Leo MC, Rosales AG, Dickerson JF, Shuster E, Wilfond BS, Goddard KAB.","PLoS One. 2018 Jul 18;13(7):e0200139. doi: 10.1371/journal.pone.0200139. eCollection 2018.","Clarke EV","PLoS One","2018","2018/07/19","PMC6051630","","10.1371/journal.pone.0200139"
